Source	Target	Weight
0	1	1
1	2	1
2	3	1
3	4	1
4	5	1
5	6	1
6	7	1
7	8	1
8	9	1
9	10	1
10	11	1
11	12	1
12	13	1
13	14	1
14	15	1
15	16	1
16	17	1
17	18	1
18	19	1
19	20	1
20	21	1
21	22	1
22	23	1
23	24	1
24	25	1
25	26	1
26	27	1
27	28	1
28	29	1
29	30	1
30	31	1
31	32	1
32	33	1
33	34	1
34	35	1
35	36	1
36	37	1
37	38	1
38	39	1
39	40	1
40	41	1
41	42	1
42	43	1
43	44	1
44	45	1
45	46	1
46	47	1
47	48	1
48	49	1
49	50	1
50	0	2
50	27	4
15	42	25
21	45	29
8	33	8
2	46	28
28	1	2
2	49	6
45	40	21
33	5	21
49	33	4
23	15	6
2	34	1
25	41	16
1	16	2
33	29	30
34	0	28
25	36	22
33	12	7
24	44	3
32	43	20
22	28	6
33	30	7
37	2	25
0	18	25
24	39	30
11	24	15
46	8	17
1	18	4
25	8	8
43	39	10
45	48	21
45	26	2
24	20	14
36	38	8
34	28	23
50	22	19
49	37	18
18	11	14
2	30	10
42	7	9
31	15	28
35	26	25
42	5	6
31	33	14
13	22	13
18	38	1
20	13	20
47	17	5
50	31	27
13	42	27
24	2	27
28	33	12
37	7	28
39	26	20
4	11	2
49	11	27
43	27	25
31	24	2
47	40	27
7	32	21
44	30	20
8	34	18
34	33	11
30	44	3
1	21	29
11	46	8
47	49	22
22	2	28
48	12	17
40	17	25
35	40	15
37	16	21
32	29	3
12	20	15
14	20	18
1	48	1
19	13	9
38	50	25
11	27	11
11	35	8
13	44	29
20	33	5
32	45	14
8	40	15
44	41	7
7	39	8
44	5	30
14	33	8
1	37	24
39	7	14
44	34	6
40	28	21
22	0	15
7	0	15
0	40	12
40	3	11
22	1	8
10	40	25
39	9	13
25	47	20
13	3	15
11	47	6
40	15	20
34	43	17
13	27	16
1	50	25
12	24	20
48	18	15
12	21	30
33	24	1
6	43	12
13	50	26
13	11	1
23	2	8
22	27	16
19	50	1
31	34	12
17	40	18
42	12	11
9	11	29
23	26	8
13	28	6
1	29	12
39	27	19
30	3	18
8	44	19
23	7	19
6	5	12
37	21	30
11	14	16
3	26	29
4	45	12
12	48	26
50	8	8
19	12	27
37	37	29
44	20	3
36	10	1
33	10	19
32	32	13
11	45	9
33	7	14
32	39	12
46	38	15
23	20	12
3	12	7
22	16	16
6	41	12
6	32	16
40	16	12
36	19	7
17	30	14
35	18	8
33	17	22
40	8	24
43	46	8
41	47	2
20	6	16
45	29	24
8	30	25
38	44	27
11	3	4
31	38	27
21	32	2
9	29	14
46	21	2
17	45	3
25	21	19
26	12	19
5	21	22
21	26	14
42	36	25
17	7	18
43	48	22
33	46	21
38	10	22
27	30	18
30	10	22
26	28	28
29	36	27
39	29	17
15	2	24
19	8	8
24	24	13
18	32	27
17	50	27
3	14	3
24	7	12
9	17	18
15	31	17
43	40	28
13	21	8
10	8	19
41	26	29
35	47	25
27	20	21
3	49	15
41	1	17
24	22	26
12	35	21
35	29	15
47	1	9
44	24	20
34	22	4
9	3	23
40	23	26
43	4	7
23	46	29
1	26	17
23	4	20
20	11	4
40	38	13
13	40	4
17	20	3
41	18	18
41	21	10
38	43	27
21	43	1
4	38	14
10	2	1
33	21	22
21	20	10
4	13	6
14	14	16
41	27	6
29	15	1
35	11	2
40	47	2
50	1	3
18	6	24
41	29	28
15	7	12
49	5	12
39	43	21
24	5	13
0	7	15
5	43	2
43	49	18
1	6	20
6	48	16
6	44	9
45	21	1
28	49	23
46	2	27
35	6	16
1	19	18
16	20	19
44	17	9
16	42	27
8	43	21
44	15	6
25	29	15
24	46	28
20	22	17
22	47	25
3	32	12
41	46	14
17	49	14
30	9	16
32	42	28
50	19	24
36	2	19
29	2	26
20	0	11
25	43	20
21	16	24
6	22	16
35	38	4
7	21	30
14	3	23
25	23	30
36	23	2
39	21	29
19	4	13
48	44	5
22	25	29
11	37	5
6	2	16
9	24	19
30	2	21
11	28	28
14	27	29
16	36	16
29	12	23
31	29	16
6	35	16
14	30	25
15	21	22
1	11	3
43	32	15
42	49	11
15	5	10
13	17	17
5	19	20
27	29	10
10	42	24
22	32	29
32	22	12
40	24	6
21	35	9
50	9	4
12	34	22
6	30	21
30	43	7
23	38	15
41	19	21
39	38	27
28	2	11
27	40	27
7	37	23
21	3	16
37	40	12
26	16	29
50	6	13
38	46	7
38	31	13
22	46	21
48	48	13
41	0	15
25	49	20
48	16	20
35	14	22
5	29	11
23	25	9
27	26	23
48	27	11
21	29	26
10	3	2
12	27	9
16	9	23
43	16	1
37	44	27
30	13	24
23	29	20
30	27	22
35	7	8
19	38	15
24	3	5
38	16	29
47	45	19
6	3	2
6	4	12
23	5	26
33	2	15
24	35	29
14	25	25
2	4	5
9	1	3
31	21	6
26	1	14
34	44	5
33	44	11
43	9	27
14	24	2
32	20	19
10	28	27
29	18	3
30	30	25
43	34	5
7	42	19
3	27	27
4	50	17
49	41	22
27	11	26
12	4	3
37	6	14
8	25	30
15	36	13
26	44	7
36	13	17
20	41	11
8	10	25
23	47	2
36	43	11
28	50	24
50	11	27
13	4	9
50	18	23
46	24	5
16	5	7
20	37	18
8	0	25
24	14	23
34	11	29
16	1	28
16	29	8
33	13	1
26	21	15
46	42	11
43	36	14
15	41	5
